week,forecast,method,sheet_name
2024-08-19,986.2735,ml_xgb,RCFPPH 1100 518
2024-08-26,970.9163,ml_xgb,RCFPPH 1100 518
2024-09-02,919.8171,ml_xgb,RCFPPH 1100 518
2024-09-09,902.08923,ml_xgb,RCFPPH 1100 518
2024-09-16,901.63116,ml_xgb,RCFPPH 1100 518
2024-09-23,902.7682,ml_xgb,RCFPPH 1100 518
2024-09-30,898.1204,ml_xgb,RCFPPH 1100 518
2024-10-07,882.3713,ml_xgb,RCFPPH 1100 518
2024-10-14,783.3598,ml_xgb,RCFPPH 1100 518
2024-07-22,375.65887,ml_xgb,RCFPPH 1100 607
2024-07-29,364.6539,ml_xgb,RCFPPH 1100 607
2024-08-05,370.9248,ml_xgb,RCFPPH 1100 607
2024-08-12,344.4559,ml_xgb,RCFPPH 1100 607
2024-08-19,346.46808,ml_xgb,RCFPPH 1100 607
2024-08-26,347.4347,ml_xgb,RCFPPH 1100 607
2024-09-02,382.24548,ml_xgb,RCFPPH 1100 607
2024-09-09,377.77905,ml_xgb,RCFPPH 1100 607
2024-09-16,377.25168,ml_xgb,RCFPPH 1100 607
2024-09-23,370.84164,ml_xgb,RCFPPH 1100 607
2024-09-30,369.1005,ml_xgb,RCFPPH 1100 607
2024-10-07,354.02533,ml_xgb,RCFPPH 1100 607
2024-07-08,307.6645,ml_xgb,RCFPPH 1100 641
2024-07-15,268.03516,ml_xgb,RCFPPH 1100 641
2024-07-22,283.9825,ml_xgb,RCFPPH 1100 641
2024-07-29,278.1137,ml_xgb,RCFPPH 1100 641
2024-08-05,273.85956,ml_xgb,RCFPPH 1100 641
2024-08-12,247.81656,ml_xgb,RCFPPH 1100 641
2024-08-19,232.90004,ml_xgb,RCFPPH 1100 641
2024-08-26,234.33725,ml_xgb,RCFPPH 1100 641
2024-09-02,233.73802,ml_xgb,RCFPPH 1100 641
2024-09-09,225.77531,ml_xgb,RCFPPH 1100 641
2024-09-16,225.67659,ml_xgb,RCFPPH 1100 641
2024-09-23,225.7351,ml_xgb,RCFPPH 1100 641
2024-07-15,601.96295,ml_xgb,RCFPPH 1100 656
2024-07-22,739.8863,ml_xgb,RCFPPH 1100 656
2024-07-29,778.1881,ml_xgb,RCFPPH 1100 656
2024-08-05,820.2041,ml_xgb,RCFPPH 1100 656
2024-08-12,813.0242,ml_xgb,RCFPPH 1100 656
2024-08-19,924.8834,ml_xgb,RCFPPH 1100 656
2024-08-26,996.39075,ml_xgb,RCFPPH 1100 656
